,File,Oil,Wheat,Beta,Return
0,A.csv,0.1902991847654442,-0.03145210462470628,1.3883691993345573,0.19337207191313935
1,AA.csv,0.0014951829633686829,-0.01551097749154838,1.7786166832391284,0.2363948945769154
2,AAL.csv,-0.4267740254738432,-0.03819763971187463,2.737023140906477,0.37748244829030386
3,CAG.csv,-0.19640001006660637,-0.01990669922387734,0.036953989630681354,0.008884743302802088
4,CBEY.csv,-0.24713576152026473,0.0009445730428309652,1.3128669315565862,0.12223342249456179
5,CHTP.csv,-0.05767222566300803,-0.01228294407326074,-2.252627296472711,-0.19930035552549924
6,CMCSK.csv,-0.3922461908905065,-0.03810806244617361,0.943328806745235,0.11447638665590666
7,CTRN.csv,-0.14312874785393553,-0.0029718545128185956,2.3586863961403832,0.3258341207771616
8,ELGX.csv,0.04935839373430304,-0.002470521075477197,0.28080578544173534,0.04217396934005568
9,ESRX.csv,-0.4640773683521511,-0.012529759864894555,1.1927084379302058,0.16666160504392083
10,FCE_A.csv,-0.0802568670805603,-0.006331444874842903,1.5542344204958154,0.21601502527172145
11,FDO.csv,-0.28606797592509103,-0.020350325593238988,0.6088836520597286,0.07922334082932114
12,FFBH.csv,0.2894729162967901,0.017532478257243866,-0.18142338690051257,-0.012520634257304354
13,FURX.csv,1.227962838173447,0.0038770223799849393,1.8474151072398801,0.1704386034509699
14,HCP.csv,-0.004193445425460389,0.014760010573343451,0.3688977121229698,0.054199765785782936
15,HITK.csv,0.8582165267430348,-0.0036251110671752505,-0.01129731914662255,0.002821215653595479
16,HSH.csv,0.684669768195749,0.030768137032917062,0.9118375083194076,0.08606886933472518
17,KR.csv,-0.008180135239981429,-0.04047906807441524,1.2239338627815635,0.17092431806815275
18,METR.csv,-0.2243867679382128,-0.025620102076106904,1.512083858470778,0.18496535725346214
19,MHK.csv,-1.3713413592682333,-0.14142326293298474,1.2782169223592441,0.17833472500924116
20,MS.csv,-0.11182286985971225,-0.026259654064128543,2.2619733063361624,0.31263141338455946
21,PEG.csv,-0.09556706243290625,-0.015945706595729494,0.31252333242686847,0.04650386400998636
22,QEP.csv,0.28377924453077813,0.009382847274169957,1.323538954621371,0.18452182472455625
23,TAM.csv,0.02153096658060255,-0.06808424028220969,2.4384279602863974,0.3053202267388674
24,TWGP.csv,-0.7773627285499026,-0.004549217099243238,-2.665739104072612,-0.23655448966434753
25,USMO.csv,-0.08569593824978687,-0.012044173519041369,0.7409529923847361,0.070658623096864
26,VLCCF.csv,0.12432718530045668,-0.006334195010992482,0.0004367684558721462,0.0038940744775477674
27,VVTV.csv,0.022377529673296252,-0.00686968550391228,3.4920722571616345,0.42302242350860925
28,WLP.csv,-0.4924331237086505,0.014607907008779696,0.8181891769990506,0.006940948308312381
